#country^currency^continent^iata_zone
AD^EUR^EU^21
MC^EUR^EU^21
MD^MDL^EU^21
ME^EUR^EU^21
MF^EUR^NA^
MG^MGA^AF^23
MH^USD^OC^31
MK^MKD^EU^21
ML^XOF^AF^23
MM^MMK^AS^31
MN^MNT^AS^31
MO^^AS^31
MP^USD^OC^31
MQ^EUR^NA^12
MR^MRO^AF^23
MS^XCD^NA^12
MT^EUR^EU^21
MU^MUR^AF^23
MV^MVR^AS^31
MW^MWK^AF^23
MX^MXN^NA^11
MY^MYR^AS^31
MZ^MZN^AF^23
NA^ZAR^AF^23
NC^XPF^OC^32
NE^XOF^AF^23
NF^AUD^OC^32
NG^NGN^AF^23
NI^NIO^NA^12
NL^EUR^EU^21
NO^NOK^EU^21
NP^NPR^AS^31
NR^AUD^OC^32
NU^NZD^OC^32
NZ^NZD^OC^32
OM^OMR^AS^22
PA^USD^NA^12
PE^PEN^SA^12
PF^XPF^OC^32
PG^PGK^OC^32
PH^PHP^AS^31
PK^PKR^AS^31
PL^PLN^EU^21
PM^EUR^NA^11
PN^NZD^OC^
PR^USD^NA^11
PS^ILS^AS^22
PT^EUR^EU^21
PW^USD^OC^31
PY^PYG^SA^13
QA^QAR^AS^22
RE^EUR^AF^23
RO^RON^EU^21
RS^SRB^EU^21
RU^RUB^EU^21
RW^RWF^AF^23
SA^SAR^AS^22
SB^SBD^OC^32
SC^SCR^AF^23
SD^SDG^AF^22
SE^SEK^EU^21
SG^SGD^AS^31
SH^SHP^AF^
SI^EUR^EU^21
SJ^^EU^
SK^EUR^EU^21
SL^SLL^AF^23
SM^EUR^EU^21
SN^XOF^AF^23
SO^SOS^AF^23
SR^SRD^SA^12
SS^SSP^^22
ST^STD^AF^23
SV^USD^NA^12
SX^ANG^^12
SY^SYP^AS^22
SZ^SZL^AF^23
TC^USD^NA^12
TD^XAF^AF^23
TF^^AN^
TG^XOF^AF^23
TH^THB^AS^31
TJ^TJS^AS^31
TK^NZD^OC^
TL^USD^AS^31
TM^TMT^AS^31
TN^TND^AF^21
TO^TOP^OC^32
TR^TRY^EU^21
TT^TTD^NA^12
TV^AUD^OC^32
TW^TWD^AS^31
TZ^TZS^AF^23
UA^UAH^EU^21
UG^UGX^AF^23
UM^^OC^31
US^USD^NA^11
UY^UYU^SA^13
UZ^UZS^AS^31
VA^EUR^EU^
VC^XCD^NA^12
VE^VEF^SA^12
VG^USD^NA^12
VI^USD^NA^11
VN^VND^AS^31
VU^VUV^OC^32
WF^XPF^OC^32
WS^WST^OC^32
XK^^^21
XU^^^31
YE^YER^AS^22
YT^EUR^AF^23
ZA^ZAR^AF^23
ZM^ZMW^AF^23
ZW^ZWL^AF^23
